Votaciones,Precision,Recall,F1_score,Accuracy
2-19,0.8005404537671232,0.8001429506619817,0.7974391848016118,0.7974452554744526
20-20,0.7929475587703436,0.779892496709083,0.7828403069167986,0.7890625
21-25,0.7979096132143224,0.7871298469286854,0.7917772127952882,0.8114602587800369
26-37,0.8097601239808638,0.8093890489137749,0.8095731123221162,0.8192161820480405
38-54,0.8316730120529462,0.8255086829419396,0.828125,0.835
55-79,0.8565380083643002,0.8595406591110879,0.8578936078936079,0.8616352201257862
80-98,0.8653583713979587,0.8675346040390288,0.8663991539131517,0.8719441210710128
99-133,0.847975805485687,0.8443760169829416,0.8459088466479059,0.8492520138089759
134-384,0.8823011963406052,0.881543632578323,0.8818943602297336,0.8828125
385-725,0.9170480549199085,0.9153846153846155,0.916083916083916,0.9166666666666666
