id	name	name_ka
1	Snap parliamentary elections	ვადამდელი საპარლამენტო არჩევნები
2	Safety of demonstrators at protests	მანიფესტანტების უსაფრთხოება საპროტესტო აქციების დროს
3	Election monitoring by international observers	არჩევნებისას ხმის მიცემის მონიტორინგი საერთაშორისო დამკვირვებლების მიერ
4	Assurance of freedom of expression	გამოხატვის თავისუფლების უზრუნველყოფა
5	Dialogue across party lines	დიალოგი პოლიტიკური პარტიებს შორის
6	Independence of political processes from personal finances	პოლიტიკური პროცესების ფინანსებზე დამოუკიდებლობა
7	Political space without a monopolist power	პოლიტიკური სივრცე მონოპოლისტი ძალის გარეშე
8	Continuation of parliamentary sessions without external interruption	პარლამენტის მუშაობა შეფერხების გარეშე
9	Competence of Members of Parliament (MPs)	პარლამენტის წევრების (დეპუტატების) მაღალი კომპეტენცია
10	Competence and impartiality of judges	მოსამართლეების მაღალი კომპეტენცია და მიუკერძოებლობა
11	Competence of Ministers	აღმასრულებელი ხელისუფლების წევრების (მინისტრები) მაღალი კომპეტენცია და მიუკერძოებლობა
12	Active engagement of rural residents in political processes	რეგიონის მაცხოვრებლების აქტიური ჩართულობა პოლიტიკურ ცხოვრებაში
13	Electoral participation without external pressure or intimidation	არჩევნებზე ნების გამოხატვა ზეგავლენის (ზეწოლის) გარეშე
14	Multi-party executive government	მრავალპარტიული აღმასრულებელი ხელისუფლება
15	Multi-party legislative body (parliament)	მრავალპარტიული საკანონმდებლო ორგანო (პარლამენტი)
16	Proportional parliamentary elections in October 2020	პროპორციული საპარლამენტო არჩევნები 2020 წლის ოქტომბერში
17	Environmentally safe landfills for household waste	საყოფაცხოვრებო ნარჩენების ეკოლოგიურად უსაფრთხო ნაგავსაყრელები
18	Independence of the judiciary	სასამართლო სისტემის დამოუკიდებლობა
19	Easy access to the healthcare system	ჯანდაცვის სისტემის ხელმისაწვდომობა
20	Competence of healthcare professionals	მედიცინის მუშაკების მაღალი კვალიფიკაცია
21	Affordability of prescription medication	მედიკამენტების ღირებულების ხელმისაწვდომობა
22	Adherence to the principles of a secular state	სეკულარული სახელმწიფოს პრინციპების დაცვა
23	Reduction of government taxes	სახელმწიფო გადასახადების შემცირება
24	Higher minimum wage	მინიმალური ხელფასის ზღვარის გაზრდა
25	More young professionals in politics	მეტი ახალგაზრდა პროფესიონალი პოლიტიკაში
26	More women in parliament	მეტი ქალი დეპუტატი პარლამენტში
27	Reduce transport emissions in cities	ქალაქებში ავტომანქანების გამონაბოლქვის შემცირება
28	Proper urban planning and greening of cities	ქალაქების სწორი ურბანული დაგეგმარება და გამწვანება
29	Accessibility of urban transport and infrastructure for people with disabilities	შეზღუდული შესაძლებლობის მქონე პირებისთვის ხელმისაწვდომი ინფრასტრუქტურა და ტრანსპორტი
30	Cost reduction of utility fees	კომუნალური გადასახადების შემცირება
31	Diversification of electric power and natural gas systems	ელექტროენერგიისა და ბუნებრივი აირის სისტემების დივერსიფიკაცია
32	Protection of human rights for religious minorities	რელიგიურ უმცირესობათა თემის უფლებათა დაცვა
33	Protection of human rights for ethnic minorities	ეთნიკურ უმცირესობათა თემის უფლებათა დაცვა
34	Protection of human rights for the LGBT community	ლგბტ თემის უფლებათა დაცვა
35	Prevent excessive use of force by law enforcement agencies	სამართალდამცავი სისტემის მიერ ძალის გადაჭარბების გამორიცხვა
36	Improved living conditions in detention facilities and protection of prisoners rights	პატიმართა პირობებისა და უფლებების გაუმჯობესება სასჯელაღსრულების სისტემაში
37	Access to shelters for socially vulnerable groups	სოციალურად დაუცველი პირებისთვის თავშესაფრების ხელმისაწვდომობა
38	Higher pensions	მინიმალულურ პენსიის გაზრდა
39	Increased support and benefits for veterans	ვეტერანებისთვის დახმარებისა და შეღავათების გაზრდა
40	Increased support and benefits for large families	მრავალშვილიანი ოჯახებისთვის დახმარებისა და შეღავათების გაზრდა
41	Increased support and benefits for socially vulnerable groups	სოციალურად დაუცველი პირებისთვის დახმარებისა და შეღავათების გაზრდა
42	Improve the quality of education in public schools	განათლების ხარისხის გაუმჯობესება საჯარო სკოლებში
43	Access to education in mountainous and low population density villages	მაღალმთიან და მცირერიცხოვან სოფლებში განათლების ხელმისაწვდომობა
44	Improvement of teacher qualification	პედაგოგების კვალიფიკაციის ამაღლება
45	Higher teacher salaries	პედაგოგების შრომის ანაზღაურების გაზრდა
46	Increased citizen engagement in politics	მოქალაქეთა უფრო აქტიური ჩართულობა პოლიტიკურ ცხოვრებაში
47	Keep Georgia on a pro-Western track	სახელმწიფოს მიერ დასავლური კურსის შენარჩუნება
48	Strengthening of the Georgian currency (GEL)	ეროვნული ვალუტის (ლარის) კურსის გამყარება
49	Reduced economic dependence on Russia	რუსეთზე ეკონომიკური დამოკიდებულების შემცირება
50	Increased security capabilities with the help of western allies	სახელმწიფოს თავდაცვისუნარიანობის გაძლიერება დასავლელი პარტნიორების დახმარებით
