option_id,index,z1,z2
1,0,0.5799322,0.28378692
2,1,1.0,0.30566844
3,2,0.67649347,0.68793666
4,3,0.6341219,0.37953234
5,4,0.91054,0.19989051
6,5,0.4768666,0.49005774
7,6,0.62539786,0.14558266
8,7,0.78845906,0.15085284
9,8,0.4119042,0.26614588
10,9,0.06705032,0.1682902
11,10,2.1409859e-08,0.2590784
12,11,0.44168973,0.22276
13,12,0.2705566,0.22119716
14,13,0.7263663,0.3188397
15,14,0.72807103,0.33548835
16,15,0.055870447,0.2288471
17,16,0.8048833,0.6248618
18,17,0.71775186,0.6971409
19,18,0.68209296,0.28179964
20,19,0.004627091,0.16122246
21,20,0.73869354,0.68178153
22,21,0.09164615,0.23192017
23,22,0.36157185,2.5511437e-09
24,23,0.6273083,0.22424562
25,24,0.546937,0.169716
26,25,0.68438387,0.34381905
27,26,0.79691064,0.3105876
28,27,0.708526,0.25879496
29,28,0.2783677,0.266204
30,29,0.7420642,0.7052635
31,30,0.40098777,0.3163191
32,31,0.6984596,0.048915457
33,32,0.75027204,3.180206e-08
34,33,0.76373905,0.1865155
35,34,0.061110307,0.20587885
36,35,0.7664273,0.2812023
37,36,0.3663851,0.418442
38,37,0.07842868,0.20687349
39,38,0.7630666,0.67474276
40,39,0.4104517,0.37095892
41,40,0.48561147,0.4116587
42,41,0.58652323,0.22607806
43,42,0.4627478,0.24135177
44,43,0.81030244,0.2719383
45,44,0.7217512,0.10771113
46,45,0.72336805,0.68205065
47,46,0.9088602,0.20132317
48,47,0.7070868,0.24661744
49,48,1.0,0.28013954
50,49,0.6631174,0.2703583
51,50,0.8346737,0.12844676
52,51,0.9999999,0.2578308
53,52,0.6296008,0.30857968
54,53,0.7526615,0.3209327
55,54,0.59655225,0.61155796
56,55,0.6616072,0.6740379
57,56,0.3891887,0.39438578
58,57,1.0,0.40550786
59,58,0.99999994,0.41633603
60,59,0.8205013,0.15784885
61,60,0.6746843,0.21345009
62,61,0.6382684,0.21284325
63,62,7.087823e-06,0.14202519
64,63,0.7473499,0.6808652
65,64,0.73887515,0.21478303
66,65,0.7940418,0.7062145
67,66,0.5116404,0.3685979
68,67,0.116416015,0.13352701
69,68,0.054528274,0.15077396
70,69,0.631823,0.2137549
71,70,0.9999999,0.24659975
72,71,7.9263875e-09,0.26958716
73,72,0.47757688,0.34631196
74,73,0.5014969,0.36090118
75,74,0.57563597,0.31359556
76,75,0.79320407,0.08007983
77,76,0.52369833,0.28436375
78,77,0.76898974,0.14794903
79,78,0.026604706,0.24352816
80,79,8.446129e-09,0.24556129
81,80,0.27945185,0.25097224
82,81,0.28818983,0.24272607
83,82,0.87925994,0.3184413
84,83,0.31270894,0.18732183
85,84,0.38849783,0.6120489
86,85,0.5817497,0.4015384
87,86,0.6896443,0.65057874
88,87,0.45744172,0.38199604
89,88,0.16279303,0.1299996
90,89,0.69906104,0.69439226
